language1,language2,ldn
Nahuatl,Abkhazian,0.52
Nauruan,Abkhazian,0.39141414141414144
Navajo,Abkhazian,0.5213675213675214
Ndonga,Abkhazian,0.5285714285714286
Neapolitan,Abkhazian,0.5242165242165242
Newar,Abkhazian,0.5986842105263158
Norfolk,Abkhazian,0.5476190476190477
Nuosu,Abkhazian,0.5576923076923077
Occitan,Abkhazian,0.5185185185185185
Odia,Abkhazian,0.5803571428571429
Ossetian,Abkhazian,0.5833333333333334
Pali,Abkhazian,0.5156695156695157
Pangasinan,Abkhazian,0.5568181818181818
Papiamentu,Abkhazian,0.5801282051282052
Piedmontese,Abkhazian,0.5576923076923077
Polish,Abkhazian,0.6025641025641025
Ripuarian,Abkhazian,0.543918918918919
Romani,Abkhazian,0.6057692307692307
Romanian,Abkhazian,0.5993589743589743
Romansh,Abkhazian,0.592948717948718
Russian,Abkhazian,0.4592074592074592
Sakha,Abkhazian,0.5723684210526315
Samoan,Abkhazian,0.4195804195804196
Sango,Abkhazian,0.5404411764705882
Sanskrit,Abkhazian,0.5612535612535613
Santali,Abkhazian,0.5865384615384616
Scots,Abkhazian,0.5361842105263158
Serbian,Abkhazian,0.5608974358974359
Sesotho,Abkhazian,0.4807692307692308
Shona,Abkhazian,0.5135135135135135
Sicilian,Abkhazian,0.6114864864864865
Sindhi,Abkhazian,0.7083333333333333
Sinhalese,Abkhazian,0.4955357142857143
Slovak,Abkhazian,0.5673076923076923
Slovenian,Abkhazian,0.50997150997151
Somali,Abkhazian,0.5641025641025641
Spanish,Abkhazian,0.6153846153846154
Sranan,Abkhazian,0.5743243243243243
Sundanese,Abkhazian,0.6447368421052632
Swati,Abkhazian,0.4641025641025641
Swedish,Abkhazian,0.5544871794871795
Tahitian,Abkhazian,0.5042735042735043
Tajik,Abkhazian,0.5544871794871795
Tamil,Abkhazian,0.5897435897435898
Tatar,Abkhazian,0.5352564102564102
Telugu,Abkhazian,0.6217948717948718
Tetum,Abkhazian,0.5491071428571429
Thai,Abkhazian,0.4757834757834758
Tigrinya,Abkhazian,0.5441595441595442
Tongan,Abkhazian,0.5327635327635327
Tsonga,Abkhazian,0.5571428571428572
Tswana,Abkhazian,0.5555555555555556
Tulu,Abkhazian,0.403030303030303
Tumbuka,Abkhazian,0.5535714285714286
Turkish,Abkhazian,0.4230769230769231
Turkmen,Abkhazian,0.555921052631579
Tuvan,Abkhazian,0.5352564102564102
Udmurt,Abkhazian,0.4846153846153846
Ukrainian,Abkhazian,0.6121794871794872
Urdu,Abkhazian,0.5723684210526315
Uyghur,Abkhazian,0.6114864864864865
Venda,Abkhazian,0.555921052631579
Vepsian,Abkhazian,0.6013513513513513
Vietnamese,Abkhazian,0.532051282051282
Võro,Abkhazian,0.6151315789473685
Walloon,Abkhazian,0.6759259259259259
Waray,Abkhazian,0.5367647058823529
Welsh,Abkhazian,0.5801282051282052
Wolof,Abkhazian,0.6206896551724138
Wu,Abkhazian,0.5801282051282052
Xhosa,Abkhazian,0.4219114219114219
Yoruba,Abkhazian,0.5128205128205128
Zeelandic,Abkhazian,0.5480769230769231
Zulu,Abkhazian,0.5512820512820513
Abkhazian,Acehnese,0.5740740740740741
Adyghe,Acehnese,0.5376623376623376
Afar,Acehnese,0.5555555555555556
Afrikaans,Acehnese,0.5045045045045045
Akan,Acehnese,0.5746031746031746
Alemannic,Acehnese,0.5225225225225225
Amharic,Acehnese,0.5705705705705706
Anglo-Saxon,Acehnese,0.5345345345345345
Arabic,Acehnese,0.5495495495495495
Aragonese,Acehnese,0.5255255255255256
Armenian,Acehnese,0.5615615615615616
Aromanian,Acehnese,0.41911764705882354
Assamese,Acehnese,0.49673202614379086
Asturian,Acehnese,0.5154320987654321
Atikamekw,Acehnese,0.6078431372549019
Avar,Acehnese,0.5162162162162163
Bambara,Acehnese,0.5111111111111111
Banjar,Acehnese,0.4131944444444444
Bashkir,Acehnese,0.5165165165165165
Basque,Acehnese,0.5255255255255256
Bavarian,Acehnese,0.5238095238095238
Belarusian,Acehnese,0.5465465465465466
Bengali,Acehnese,0.5105105105105106
Bhojpuri,Acehnese,0.5277777777777778
Bislama,Acehnese,0.5065359477124183
Bosnian,Acehnese,0.5345345345345345
Breton,Acehnese,0.5555555555555556
Buginese,Acehnese,0.41666666666666663
Bulgarian,Acehnese,0.5345345345345345
Burmese,Acehnese,0.4391891891891892
Buryat,Acehnese,0.5555555555555556
Cantonese,Acehnese,0.32273449920508746
Catalan,Acehnese,0.5075075075075075
Cebuano,Acehnese,0.4513888888888889
Chamorro,Acehnese,0.4391891891891892
Chavacano,Acehnese,0.5495495495495495
Chechen,Acehnese,0.5435435435435435
Cherokee,Acehnese,0.4760914760914761
Cheyenne,Acehnese,0.4675925925925926
Chichewa,Acehnese,0.5130718954248366
Chinese,Acehnese,0.5435435435435435
Choctaw,Acehnese,0.5416666666666666
Chuvash,Acehnese,0.5615615615615616
Cornish,Acehnese,0.5195195195195195
Corsican,Acehnese,0.4857142857142857
Croatian,Acehnese,0.5225225225225225
Czech,Acehnese,0.5285285285285285
Danish,Acehnese,0.5345345345345345
Divehi,Acehnese,0.48659003831417624
Dutch,Acehnese,0.5255255255255256
Dzongkha,Acehnese,0.5296296296296297
Emilian-Romagnol,Acehnese,0.5135135135135135
English,Acehnese,0.5225225225225225
Erzya,Acehnese,0.5615615615615616
Esperanto,Acehnese,0.4924924924924925
Estonian,Acehnese,0.5225225225225225
Ewe,Acehnese,0.49603174603174605
Faroese,Acehnese,0.5945945945945946
Fijian,Acehnese,0.42342342342342343
Finnish,Acehnese,0.5105105105105106
Franco-Provençal,Acehnese,0.4982078853046595
French,Acehnese,0.5135135135135135
Friulian,Acehnese,0.48648648648648646
Gagauz,Acehnese,0.5499999999999999
Galician,Acehnese,0.5154320987654321
Georgian,Acehnese,0.5022522522522522
German,Acehnese,0.5495495495495495
Gilaki,Acehnese,0.48
Gorontalo,Acehnese,0.4930555555555555
Gothic,Acehnese,0.5892255892255892
Greek,Acehnese,0.5225225225225225
Greenlandic,Acehnese,0.5155925155925156
Gujarati,Acehnese,0.5555555555555556
Hakka,Acehnese,0.47297297297297297
Hausa,Acehnese,0.44717444717444715
Hawaiian,Acehnese,0.46846846846846846
Hebrew,Acehnese,0.5375375375375375
Herero,Acehnese,0.48948948948948945
Hindi,Acehnese,0.5030864197530864
Hungarian,Acehnese,0.44963144963144963
Icelandic,Acehnese,0.5297297297297298
Igbo,Acehnese,0.3667953667953668
Indonesian,Acehnese,0.3993993993993994
Ingush,Acehnese,0.5462962962962963
Irish,Acehnese,0.5435435435435435
Japanese,Acehnese,0.5315315315315315
Javanese,Acehnese,0.4444444444444444
Kabardian,Acehnese,0.5012987012987012
Kabiye,Acehnese,0.49603174603174605
Kabyle,Acehnese,0.5705705705705706
Kalmyk,Acehnese,0.5495495495495495
Kannada,Acehnese,0.5465465465465466
Kapampangan,Acehnese,0.4618055555555555
Karachay-Balkar,Acehnese,0.5111111111111111
Karakalpak,Acehnese,0.5123456790123456
Kashmiri,Acehnese,0.47174447174447176
Kashubian,Acehnese,0.5555555555555556
Kazakh,Acehnese,0.5195195195195195
Khmer,Acehnese,0.4594594594594595
Kikuyu,Acehnese,0.5135135135135135
Kinyarwanda,Acehnese,0.5075075075075075
Kirghiz,Acehnese,0.5030864197530864
Kirundi,Acehnese,0.48366013071895425
Komi-Permyak,Acehnese,0.4882154882154882
Konkani,Acehnese,0.5
Korean,Acehnese,0.5045045045045045
Kuanyama,Acehnese,0.4949494949494949
Ladino,Acehnese,0.5225225225225225
Lak,Acehnese,0.5679012345679012
Lao,Acehnese,0.5255255255255256
Latin,Acehnese,0.5525525525525525
Lezgian,Acehnese,0.4668304668304668
Limburgish,Acehnese,0.5195195195195195
Lingala,Acehnese,0.49382716049382713
Lithuanian,Acehnese,0.5585585585585585
Livvi-Karelian,Acehnese,0.5030864197530864
Lombard,Acehnese,0.5075075075075075
Luganda,Acehnese,0.5045045045045045
Luxembourgish,Acehnese,0.5493827160493827
Macedonian,Acehnese,0.5105105105105104
Maithili,Acehnese,0.5466666666666666
Malayalam,Acehnese,0.5555555555555556
Maltese,Acehnese,0.5615615615615616
Manx,Acehnese,0.5285285285285285
Maori,Acehnese,0.46984126984126984
Marathi,Acehnese,0.5492063492063491
Marshallese,Acehnese,0.4756944444444444
Mazandarani,Acehnese,0.5147058823529411
Minangkabau,Acehnese,0.3958333333333333
Mingrelian,Acehnese,0.5987654320987654
Mirandese,Acehnese,0.5252525252525252
Moksha,Acehnese,0.5392156862745098
Muscogee,Acehnese,0.5472222222222222
Nahuatl,Acehnese,0.5827586206896551
Nauruan,Acehnese,0.390625
Navajo,Acehnese,0.5225225225225225
Ndonga,Acehnese,0.5117845117845118
Neapolitan,Acehnese,0.5315315315315315
Newar,Acehnese,0.5679012345679012
Norfolk,Acehnese,0.5185185185185185
Nuosu,Acehnese,0.5255255255255256
Occitan,Acehnese,0.5105105105105106
Odia,Acehnese,0.5308641975308642
Ossetian,Acehnese,0.5255255255255256
Pali,Acehnese,0.5885885885885885
Pangasinan,Acehnese,0.46236559139784944
Papiamentu,Acehnese,0.5135135135135135
Piedmontese,Acehnese,0.5135135135135135
Polish,Acehnese,0.5375375375375375
Ripuarian,Acehnese,0.5206349206349207
Romani,Acehnese,0.5465465465465466
Romanian,Acehnese,0.5015015015015015
Romansh,Acehnese,0.5285285285285285
Russian,Acehnese,0.5459459459459459
Sakha,Acehnese,0.5315315315315315
Samoan,Acehnese,0.40294840294840295
Sango,Acehnese,0.5286195286195287
Sanskrit,Acehnese,0.6036036036036035
Santali,Acehnese,0.5315315315315315
Scots,Acehnese,0.5154320987654321
Serbian,Acehnese,0.5165165165165165
Sesotho,Acehnese,0.5285285285285285
Shona,Acehnese,0.5174603174603174
Sicilian,Acehnese,0.5333333333333333
Sindhi,Acehnese,0.5666666666666667
Sinhalese,Acehnese,0.5512820512820513
Slovak,Acehnese,0.5075075075075075
Slovenian,Acehnese,0.5045045045045045
Somali,Acehnese,0.5345345345345345
Spanish,Acehnese,0.4984984984984985
Sranan,Acehnese,0.5142857142857142
Sundanese,Acehnese,0.4666666666666667
Swati,Acehnese,0.527027027027027
Swedish,Acehnese,0.5225225225225225
Tahitian,Acehnese,0.4954954954954955
Tajik,Acehnese,0.5165165165165165
Tamil,Acehnese,0.5675675675675675
Tatar,Acehnese,0.5345345345345345
Telugu,Acehnese,0.5825825825825826
Tetum,Acehnese,0.4403292181069959
Thai,Acehnese,0.5525525525525525
Tigrinya,Acehnese,0.5975975975975976
Tongan,Acehnese,0.5075075075075075
Tsonga,Acehnese,0.5521885521885522
Tswana,Acehnese,0.5824915824915825
Tulu,Acehnese,0.4636363636363636
Tumbuka,Acehnese,0.531986531986532
Turkish,Acehnese,0.4572072072072072
Turkmen,Acehnese,0.5030864197530864
Tuvan,Acehnese,0.5075075075075075
Udmurt,Acehnese,0.4810810810810811
Ukrainian,Acehnese,0.5255255255255256
Urdu,Acehnese,0.5432098765432098
Uyghur,Acehnese,0.3653061224489796
Venda,Acehnese,0.5524691358024691
Vepsian,Acehnese,0.5238095238095238
Vietnamese,Acehnese,0.45645645645645644
Võro,Acehnese,0.5030864197530864
Walloon,Acehnese,0.5163398692810457
Waray,Acehnese,0.4377104377104377
Welsh,Acehnese,0.5195195195195195
Wolof,Acehnese,0.5
Wu,Acehnese,0.5285285285285285
Xhosa,Acehnese,0.4692874692874693
Yoruba,Acehnese,0.5045045045045045
Zeelandic,Acehnese,0.5165165165165165
Zulu,Acehnese,0.5375375375375375
Abkhazian,Adyghe,0.43301435406698563
Acehnese,Adyghe,0.5376623376623376
Afar,Adyghe,0.538083538083538
Afrikaans,Adyghe,0.47129186602870815
Akan,Adyghe,0.5116883116883116
Alemannic,Adyghe,0.4617224880382775
Amharic,Adyghe,0.48564593301435405
Anglo-Saxon,Adyghe,0.49760765550239233
Arabic,Adyghe,0.507177033492823
Aragonese,Adyghe,0.5406698564593302
Armenian,Adyghe,0.5119617224880383
Aromanian,Adyghe,0.48333333333333334
Assamese,Adyghe,0.4883116883116883
Asturian,Adyghe,0.5233415233415233
Atikamekw,Adyghe,0.5558441558441558
Avar,Adyghe,0.47368421052631576
Bambara,Adyghe,0.48787878787878786
Banjar,Adyghe,0.5227272727272727
Bashkir,Adyghe,0.49282296650717705
Basque,Adyghe,0.5239234449760766
Bavarian,Adyghe,0.4636363636363636
Belarusian,Adyghe,0.5119617224880383
Bengali,Adyghe,0.4904306220095694
Bhojpuri,Adyghe,0.48275862068965514
Bislama,Adyghe,0.45989304812834225
Bosnian,Adyghe,0.49521531100478466
Breton,Adyghe,0.49521531100478466
Buginese,Adyghe,0.4914004914004914
Bulgarian,Adyghe,0.5
Burmese,Adyghe,0.5043859649122807
Buryat,Adyghe,0.49407114624505927
Cantonese,Adyghe,0.369969040247678
Catalan,Adyghe,0.44976076555023925
Cebuano,Adyghe,0.5170454545454546
Chamorro,Adyghe,0.5328947368421053
Chavacano,Adyghe,0.5287081339712919
Chechen,Adyghe,0.48086124401913877
Cherokee,Adyghe,0.5080971659919028
Cheyenne,Adyghe,0.5247747747747747
Chichewa,Adyghe,0.5142857142857142
Chinese,Adyghe,0.5
Choctaw,Adyghe,0.5307125307125307
Chuvash,Adyghe,0.4784688995215311
Cornish,Adyghe,0.5095693779904307
Corsican,Adyghe,0.5277777777777778
Croatian,Adyghe,0.49521531100478466
Czech,Adyghe,0.5
Danish,Adyghe,0.47129186602870815
Divehi,Adyghe,0.42006269592476486
Dutch,Adyghe,0.4473684210526316
Dzongkha,Adyghe,0.48484848484848486
Emilian-Romagnol,Adyghe,0.4880382775119617
English,Adyghe,0.4569377990430622
Erzya,Adyghe,0.5334928229665071
Esperanto,Adyghe,0.5095693779904306
Estonian,Adyghe,0.5143540669856459
Ewe,Adyghe,0.49025974025974023
Faroese,Adyghe,0.5167464114832536
Fijian,Adyghe,0.30701754385964913
Finnish,Adyghe,0.5287081339712919
Franco-Provençal,Adyghe,0.46774193548387094
French,Adyghe,0.4617224880382775
Friulian,Adyghe,0.49282296650717705
Gagauz,Adyghe,0.509090909090909
Galician,Adyghe,0.5036855036855037
Georgian,Adyghe,0.5328947368421053
German,Adyghe,0.45215311004784686
Gilaki,Adyghe,0.47800586510263926
Gorontalo,Adyghe,0.5539772727272727
Gothic,Adyghe,0.5235294117647059
Greek,Adyghe,0.5382775119617225
Greenlandic,Adyghe,0.5404858299595142
Gujarati,Adyghe,0.4880382775119617
Hakka,Adyghe,0.5085995085995086
Hausa,Adyghe,0.5215311004784688
Hawaiian,Adyghe,0.5047846889952153
Hebrew,Adyghe,0.5239234449760766
Herero,Adyghe,0.46411483253588515
Hindi,Adyghe,0.48564593301435405
Hungarian,Adyghe,0.5023923444976076
Icelandic,Adyghe,0.5382775119617225
Igbo,Adyghe,0.4041353383458647
Indonesian,Adyghe,0.5239234449760766
Ingush,Adyghe,0.48564593301435405
Irish,Adyghe,0.47368421052631576
Japanese,Adyghe,0.5143540669856459
Javanese,Adyghe,0.5303030303030303
Kabardian,Adyghe,0.13875598086124402
Kabiye,Adyghe,0.47648902821316613
Kabyle,Adyghe,0.5047846889952153
Kalmyk,Adyghe,0.5239234449760766
Kannada,Adyghe,0.5311004784688995
Kapampangan,Adyghe,0.5113636363636364
Karachay-Balkar,Adyghe,0.4649350649350649
Karakalpak,Adyghe,0.5061425061425061
Kashmiri,Adyghe,0.49760765550239233
Kashubian,Adyghe,0.5347826086956522
Kazakh,Adyghe,0.4880382775119617
Khmer,Adyghe,0.49521531100478466
Kikuyu,Adyghe,0.4880382775119617
Kinyarwanda,Adyghe,0.49760765550239233
Kirghiz,Adyghe,0.5135135135135135
Kirundi,Adyghe,0.4935064935064935
Komi-Permyak,Adyghe,0.4946524064171123
Konkani,Adyghe,0.45454545454545453
Korean,Adyghe,0.4665071770334928
Kuanyama,Adyghe,0.5064935064935064
Ladino,Adyghe,0.5382775119617225
Lak,Adyghe,0.4617224880382775
Lao,Adyghe,0.4617224880382775
Latin,Adyghe,0.5502392344497608
Lezgian,Adyghe,0.47607655502392343
Limburgish,Adyghe,0.4665071770334928
Lingala,Adyghe,0.48894348894348894
Lithuanian,Adyghe,0.5574162679425837
Livvi-Karelian,Adyghe,0.5184275184275184
Lombard,Adyghe,0.4784688995215311
Luganda,Adyghe,0.507177033492823
Luxembourgish,Adyghe,0.44963144963144963
Macedonian,Adyghe,0.4880382775119617
Maithili,Adyghe,0.5291666666666667
Malayalam,Adyghe,0.5406698564593302
Maltese,Adyghe,0.5191387559808612
Manx,Adyghe,0.4784688995215311
Maori,Adyghe,0.5012987012987012
Marathi,Adyghe,0.4898989898989899
Marshallese,Adyghe,0.4744318181818182
Mazandarani,Adyghe,0.5
Minangkabau,Adyghe,0.5170454545454546
Mingrelian,Adyghe,0.5334928229665071
Mirandese,Adyghe,0.5179063360881543
Moksha,Adyghe,0.5012987012987012
Muscogee,Adyghe,0.5405405405405406
Nahuatl,Adyghe,0.5517241379310345
Nauruan,Adyghe,0.4713541666666667
Navajo,Adyghe,0.48564593301435405
Ndonga,Adyghe,0.5064935064935064
Neapolitan,Adyghe,0.44258373205741625
Newar,Adyghe,0.5012285012285013
Norfolk,Adyghe,0.4681818181818182
Nuosu,Adyghe,0.4784688995215311
Occitan,Adyghe,0.48564593301435405
Odia,Adyghe,0.5387205387205387
Ossetian,Adyghe,0.492822966507177
Pali,Adyghe,0.5358851674641149
Pangasinan,Adyghe,0.5255681818181818
Papiamentu,Adyghe,0.49282296650717705
Piedmontese,Adyghe,0.47129186602870815
Polish,Adyghe,0.4904306220095694
Ripuarian,Adyghe,0.4343434343434343
Romani,Adyghe,0.5119617224880383
Romanian,Adyghe,0.49760765550239233
Romansh,Adyghe,0.47607655502392343
Russian,Adyghe,0.5478468899521531
Sakha,Adyghe,0.5085995085995086
Samoan,Adyghe,0.5167464114832536
Sango,Adyghe,0.4793388429752066
Sanskrit,Adyghe,0.5143540669856459
Santali,Adyghe,0.49521531100478466
Scots,Adyghe,0.457002457002457
Serbian,Adyghe,0.48564593301435405
Sesotho,Adyghe,0.4449760765550239
Shona,Adyghe,0.5
Sicilian,Adyghe,0.5404040404040404
Sindhi,Adyghe,0.44166666666666665
Sinhalese,Adyghe,0.5214285714285715
Slovak,Adyghe,0.49521531100478466
Slovenian,Adyghe,0.49282296650717705
Somali,Adyghe,0.5143540669856459
Spanish,Adyghe,0.5334928229665071
Sranan,Adyghe,0.5
Sundanese,Adyghe,0.5626535626535627
Swati,Adyghe,0.5047846889952153
Swedish,Adyghe,0.4617224880382775
Tahitian,Adyghe,0.5095693779904306
Tajik,Adyghe,0.47368421052631576
Tamil,Adyghe,0.5358851674641149
Tatar,Adyghe,0.4569377990430622
Telugu,Adyghe,0.5598086124401914
Tetum,Adyghe,0.5252525252525252
Thai,Adyghe,0.4569377990430622
Tigrinya,Adyghe,0.5191387559808612
Tongan,Adyghe,0.5334928229665071
Tsonga,Adyghe,0.5454545454545454
Tswana,Adyghe,0.5506493506493506
Tulu,Adyghe,0.45768025078369906
Tumbuka,Adyghe,0.5116883116883116
Turkish,Adyghe,0.48026315789473684
Turkmen,Adyghe,0.48402948402948404
Tuvan,Adyghe,0.47129186602870815
Udmurt,Adyghe,0.5095693779904307
Ukrainian,Adyghe,0.5215311004784688
Urdu,Adyghe,0.4692874692874693
Uyghur,Adyghe,0.5151515151515151
Venda,Adyghe,0.48894348894348894
Vepsian,Adyghe,0.5328282828282829
Vietnamese,Adyghe,0.4688995215311005
Võro,Adyghe,0.5110565110565111
Walloon,Adyghe,0.4888888888888889
Waray,Adyghe,0.5068870523415978
Welsh,Adyghe,0.4688995215311005
Wolof,Adyghe,0.49025974025974023
Wu,Adyghe,0.48564593301435405
Xhosa,Adyghe,0.5095693779904307
Yoruba,Adyghe,0.48564593301435405
Zeelandic,Adyghe,0.43779904306220097
Zulu,Adyghe,0.49760765550239233
Abkhazian,Afar,0.569078947368421
Acehnese,Afar,0.5555555555555556
Adyghe,Afar,0.538083538083538
Afrikaans,Afar,0.5416666666666666
Akan,Afar,0.5590277777777778
Alemannic,Afar,0.5576923076923077
Amharic,Afar,0.5961538461538461
Anglo-Saxon,Afar,0.5576923076923077
Arabic,Afar,0.5032051282051282
Aragonese,Afar,0.5961538461538461
Armenian,Afar,0.5327635327635327
Aromanian,Afar,0.40046296296296297
Assamese,Afar,0.5208333333333334
Asturian,Afar,0.5756578947368421
Atikamekw,Afar,0.5462962962962963
Avar,Afar,0.4564102564102564
Bambara,Afar,0.52734375
Banjar,Afar,0.5
Bashkir,Afar,0.5512820512820513
Basque,Afar,0.5544871794871795
Bavarian,Afar,0.5397727272727273
Belarusian,Afar,0.5156695156695157
Bengali,Afar,0.5160256410256411
Bhojpuri,Afar,0.5161290322580645
Bislama,Afar,0.5142857142857142
Bosnian,Afar,0.5673076923076923
Breton,Afar,0.5512820512820513
Buginese,Afar,0.4824561403508772
Bulgarian,Afar,0.5128205128205128
Burmese,Afar,0.3696581196581197
Buryat,Afar,0.5271739130434783
Cantonese,Afar,0.4755244755244755
Catalan,Afar,0.5416666666666666
Cebuano,Afar,0.5032679738562091
Chamorro,Afar,0.42094017094017094
Chavacano,Afar,0.5584045584045584
Chechen,Afar,0.5448717948717948
Cherokee,Afar,0.45364891518737677
Cheyenne,Afar,0.45394736842105265
Chichewa,Afar,0.5555555555555556
Chinese,Afar,0.5833333333333334
Choctaw,Afar,0.45789473684210524
Chuvash,Afar,0.5384615384615384
Cornish,Afar,0.5801282051282052
Corsican,Afar,0.46578947368421053
Croatian,Afar,0.5961538461538461
Czech,Afar,0.5801282051282052
Danish,Afar,0.5512820512820513
Divehi,Afar,0.49583333333333335
Dutch,Afar,0.5512820512820513
Dzongkha,Afar,0.5944700460829493
Emilian-Romagnol,Afar,0.5769230769230769
English,Afar,0.5448717948717948
Erzya,Afar,0.5327635327635327
Esperanto,Afar,0.5608974358974359
Estonian,Afar,0.5416666666666666
Ewe,Afar,0.49583333333333335
Faroese,Afar,0.592948717948718
Fijian,Afar,0.2564102564102564
Finnish,Afar,0.532051282051282
