language,wiki,iso
Zazaki,diq,zza
Persian,fa,fas
Gilaki,glk,glk
Mazandarani,mzn,mzn
Ossetian,os,oss
Pashto,ps,pus
Tajik,tg,tgk
Finnish,fi,fin
Estonian,et,est
Võro,fiu-vro,vro
Komi,kv,kom
Komi-Permyak,koi,koi
Udmurt,udm,udm
Vepsian,vep,vep
Erzya,myv,myv
Moksha,mdf,mdf
Assamese,as,asm
Bhojpuri,bh,bho
Bengali,bn,ben
Divehi,dv,div
Konkani,gom,gom
Gujarati,gu,guj
Hindi,hi,hin
Marathi,mr,mar
Kashmiri,ks,kas
Nepali,ne,nep
Doteli,dty,dty
Odia,or,bhf
Pali,pi,pli
Romani,rmy,rmy
Maithili,mai,mai
Sanskrit,sa,san
Sindhi,sd,snd
Sinhalese,si,sin
Urdu,ur,urd
Esperanto,eo,epo
Interlingua,ia,ila
Interlingue,ie,ile
Ido,io,ido
Lojban,jbo,jbo
Novial,nov,nov
Volapük,vo,vol
Korean,ko,kor
Hungarian,hu,hun
Lithuanian,lt,lit
Latgalian,ltg,ltg
Latvian,lv,lav
Samogitian,bat-smg,sgs
Basque,eu,eus
Kannada,kn,kan
Malayalam,ml,mal
Tamil,ta,tam
Telugu,te,tel
Breton,br,bre
Welsh,cy,cym
Irish,ga,gle
Manx,gv,glv
Cornish,kw,cor
Armenian,hy,hye
Dzongkha,dz,dzo
Burmese,my,mya
Newar,new,new
Greek,el,ell
Pontic,pnt,pnt
Georgian,ka,kat
Mingrelian,xmf,xmf
Lao,lo,lao
Thai,th,tha
Zhuang,za,zha
Avar,av,ava
Chechen,ce,che
Lezgian,lez,lez
Lak,lbe,lbe
Malagasy,mg,mlg
Papiamentu,pap,pap
Chavacano,cbk-zam,cbk
Albanian,sq,sqi
Kongo,kg,kon
Kikuyu,ki,kik
Lingala,ln,lin
Luganda,lg,lug
Chichewa,ny,nya
Kirundi,rn,run
Kinyarwanda,rw,kin
Shona,sn,sna
Swati,ss,ssw
Swahili,sw,swa
Tswana,tn,tsn
Sesotho,st,sot
Tsonga,ts,tso
Tumbuka,tum,tum
Venda,ve,ven
Xhosa,xh,xho
Zulu,zu,zul
Yoruba,yo,yor
Quechua,qu,que
Buryat,bxr,bxr
Mongolian,mn,mon
Kalmyk,xal,xal
Hawaiian,haw,haw
Maori,mi,mri
Samoan,sm,smo
Tongan,to,ton
Tahitian,ty,tah
Nahuatl,nah,nhn
Oromo,om,orm
Somali,so,som
Aymara,ay,aym
Bislama,bi,bis
Norfolk,pih,pih
Sranan,srn,srn
Guarani,gn,grn
Navajo,nv,nav
Abkhazian,ab,abk
Kabardian,kbd,kbd
Kabyle,kab,kab
Inupiak,ik,ipk
Inuktitut,iu,iku
Greenlandic,kl,kal
Hausa,ha,hau
Tetum,tet,tet
Nauruan,na,nau
Fula,ff,ful
Wolof,wo,wol
Akan,ak,aka
Ewe,ee,ewe
Twi,tw,twi
Igbo,ig,ibo
Cheyenne,chy,chy
Cree,cr,cre
Cherokee,chr,chr
Bambara,bm,bam
Fijian,fj,fij
Sango,sg,sag
Afar,aa,aar
Herero,hz,her
Kanuri,kr,kau
Muscogee,mus,mus
Ndonga,ng,ndo
Kuanyama,kj,kua
Adyghe,ady,ady
Choctaw,cho,cho
Marshallese,mh,mah
Nuosu,ii,iii
Tulu,tcy,tcy
Livvi-Karelian,olo,krl
Kabiye,kbp,kbp
Dinka,din,din
Atikamekw,atj,atj
Ingush,inh,inh
Gorontalo,gor,gor
Santali,sat,sat
German,de,deu
Spanish,es,spa
English,en,eng
